Change ID,Impact Level,Change Type,Category Code,Category Name,Substantive,Confidence (%),Change Summary,Old Document Location (Page),Old Document Section,Old Requirement Text,New Document Location (Page),New Document Section,New Requirement Text,Numerical Changes,Obligation Analysis,Impact Explanation
CHG-0001,HIGH,MODIFIED,C11,Scope Change,Yes,50,Category: Scope Change. New obligation language introduced: shall Significant textual changes detected.,2,4,"4. With a view to provide REs adequate time to comply with the requirements, the",5,4,4. The scope of provisions contained in Chapter III shall be as under:,,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0002,LOW,MODIFIED,C03,Modified Requirement,Yes,51,Category: Modified Requirement. Obligation language removed: shall Significant textual changes detected.,5,(a),(a) These Directions shall be called the Reserve Bank of India (Outsourcing of,36,(a),"(a) Infrastructure as a Service (IaaS): The service provides computing,",,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0003,LOW,MODIFIED,C03,Modified Requirement,Yes,51,Category: Modified Requirement. Obligation language removed: shall Significant textual changes detected.,5,(b),"(b) These Directions shall come into effect from October 1, 2023.",36,(b),(b) Platform as a Service (PaaS): The service provides software for,,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0004,LOW,MODIFIED,C03,Modified Requirement,Yes,51,Category: Modified Requirement. Significant textual changes detected.,6,(i),"(i) all Banking Companies1, Corresponding New Banks and State Bank of",6,(i),(i) corporate internet banking services obtained by a bank as a corporate,,,
CHG-0005,LOW,MODIFIED,C12,Definition Change,Yes,53,Category: Definition Change. Significant textual changes detected.,6,(ii),(ii) Primary Co-operative Banks as defined under clause (ccv) of subsection,6,(ii),"(ii) activities unrelated to banking services like usage of courier, catering of staff,",,,
CHG-0006,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,51,Category: Threshold / Limit Change. Significant textual changes detected.,6,(iii),(iii) Non-Banking Financial Companies as defined under clause (f) of,7,(iii),(iii) SMS gateways (including bulk SMS service providers);,,,
CHG-0007,LOW,MODIFIED,C12,Definition Change,Yes,51,Category: Definition Change. Significant textual changes detected.,7,(iv),(iv) Credit Information Companies as defined under clause (e) of section,6,(iv),(iv) services and operations related to data centres;,,,
CHG-0008,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,51,Category: Threshold / Limit Change. Significant textual changes detected.,7,(v),"(v) EXIM Bank, National Bank for Agriculture and Rural Development",10,(v),(v) reviewing any adverse development mentioned in reports put up to Senior,,,
CHG-0009,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,55,Category: Threshold / Limit Change. Significant textual changes detected.,11,11,11. Role of the Senior Management,9,11,"11. The Board or a Committee of the Board to which powers have been delegated, as",,,
CHG-0010,LOW,MODIFIED,C14,Procedural Change,Yes,51,Category: Procedural Change. Significant textual changes detected.,12,(ii),(ii) appropriate redressal of customer grievances in a timely manner;,7,(ii),(ii) external audit services such as Vulnerability Assessment (VA) / Penetration,,,
CHG-0011,LOW,MODIFIED,C03,Modified Requirement,Yes,56,Category: Modified Requirement. Significant textual changes detected.,12,12,12. Role of IT Function,9,12,"12. In respect of outsourcing of financial services,",,,
CHG-0012,HIGH,MODIFIED,C04,Threshold / Limit Change,Yes,51,Category: Threshold / Limit Change. New obligation language introduced: shall Significant textual changes detected.,13,13,13. Due Diligence on Service Providers,10,13,"13. In respect of outsourcing of IT services, the Board shall be responsible, inter alia,",,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0013,MEDIUM,MODIFIED,C13,Exception / Exemption Change,Yes,52,Category: Exception / Exemption Change. Significant textual changes detected.,13,14,14. Aspects to be considered,11,14,"14. In this Chapter, unless the context otherwise requires, 'Material Outsourcing'",,,
CHG-0014,HIGH,MODIFIED,C03,Modified Requirement,Yes,54,"Category: Modified Requirement. New obligation language introduced: shall not, shall Significant textual changes detected.",15,16,16. Aspects to be considered in agreement,11,16,"16. A bank which desires to outsource financial services, shall not require prior",,"ObligationDirection.INTRODUCED: New obligation language introduced: shall not, shall",
CHG-0015,HIGH,MODIFIED,C03,Modified Requirement,Yes,52,Category: Modified Requirement. New obligation language introduced: shall Significant textual changes detected.,19,18,18. Business Continuity Plan and Disaster Recovery Plan,12,18,18. A bank shall ensure that:,,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0016,HIGH,MODIFIED,C04,Threshold / Limit Change,Yes,51,Category: Threshold / Limit Change. New obligation language introduced: shall Significant textual changes detected.,20,19,19. Monitoring and Control of Outsourced Activities,12,19,19. A bank shall be responsible for making Currency Transactions Reports (CTRs),,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0017,HIGH,MODIFIED,C05,Timeline Change,Yes,53,Category: Timeline Change. New obligation language introduced: shall Significant textual changes detected.,22,20,20. Outsourcing within a Group / Conglomerate,13,20,20. A bank intending to outsource any of its financial services shall put in place a,,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0018,HIGH,MODIFIED,C03,Modified Requirement,Yes,52,Category: Modified Requirement. New obligation language introduced: shall Significant textual changes detected.,24,1,"1. While considering adoption of cloud solution, it is imperative to analyse the business",4,1,1. These Directions shall be called the Reserve Bank of India (Commercial Banks -,,ObligationDirection.INTRODUCED: New obligation language introduced: shall,
CHG-0019,LOW,MODIFIED,C03,Modified Requirement,Yes,52,Category: Modified Requirement. Significant textual changes detected.,24,2,"2. In engaging cloud services, REs shall ensure, inter alia, that the Outsourcing of IT",4,2,2. These Directions shall come into force with immediate effect.,,,
CHG-0020,MEDIUM,MODIFIED,C11,Scope Change,Yes,52,Category: Scope Change. Significant textual changes detected.,24,3,"3. In adoption of cloud services, REs shall take into account the cloud service specific",4,3,3. These Directions shall be applicable to Scheduled Commercial Banks (hereinafter,,,
CHG-0021,LOW,MODIFIED,C03,Modified Requirement,Yes,51,Category: Modified Requirement. Significant textual changes detected.,27,7,7. Disaster Recovery & Cyber Resilience,8,7,7. Some other terms pertaining to outsourcing of financial services and IT services,,,
CHG-0022,LOW,MODIFIED,C03,Modified Requirement,Yes,52,Category: Modified Requirement. Obligation language removed: should Significant textual changes detected.,28,9,9. Audit and Assurance: The audit/ periodic review/ third-party certifications should,9,9,"9. The outsourcing of any activity by a bank does not diminish its obligations, and those",,ObligationDirection.REMOVED: Obligation language removed: should,
CHG-0023,LOW,MODIFIED,C03,Modified Requirement,Yes,68,Section Page 24 -> 91. Category: Modified Requirement. Moderate textual changes detected.,24,,There are several cloud deployment and service models that have emerged over time.,36,91,91. Several cloud deployment and service models have emerged over time. These are,,,
CHG-0024,MEDIUM,MODIFIED,C05,Timeline Change,Yes,66,Section Page 5 -> Page 4. Category: Timeline Change. Moderate textual changes detected.,5,,"1.
Short title and Commencement",4,,A. Short Title and Commencement,,,
CHG-0025,LOW,MODIFIED,C03,Modified Requirement,Yes,77,Section Page 2 -> Page 43. Category: Modified Requirement.,2,,"(T.K.Rajan)
Chief General Manager",43,,Chief General Manager,,,
CHG-0026,INFORMATIONAL,REWORDED,C17,Editorial Change,No,78,Section Page 24 -> Page 36. Category: Editorial Change.,24,,Usage of Cloud Computing Services,36,,F.4 Usage of Cloud Computing Services,,,
CHG-0027,INFORMATIONAL,REWORDED,C17,Editorial Change,No,79,Section Page 22 -> Page 34. Category: Editorial Change.,22,,Outsourcing within a Group / Conglomerate,34,,F.1 Outsourcing within a Group / Conglomerate,,,
CHG-0028,INFORMATIONAL,REWORDED,C17,Editorial Change,No,79,Section Page 20 -> Page 18. Category: Editorial Change.,20,,Monitoring and Control of Outsourced Activities,18,,F.3 Monitoring and Control of Outsourced Activities,,,
